# Generated 2025/02/17 15:09:35 by OpenQuake Engine v3.16.0 and OpenQuake Integrated Risk Modelling Toolkit v3.16.3,,,,,,,,,,,,,,,,,,,,,,,
# poe = 0.02000,,,,,,,,,,,,,,,,,,,,,,,
# return_period = 2500,,,,,,,,,,,,,,,,,,,,,,,
lon,lat,mean_PGA,mean_SA(0.01),mean_SA(0.02),mean_SA(0.03),mean_SA(0.05),mean_SA(0.075),mean_SA(0.1),mean_SA(0.15),mean_SA(0.2),mean_SA(0.25),mean_SA(0.3),mean_SA(0.4),mean_SA(0.5),mean_SA(0.75),mean_SA(1.0),mean_SA(1.5),mean_SA(2.0),mean_SA(3.0),mean_SA(4.0),mean_SA(5.0),mean_SA(7.5),mean_SA(10.0)
-115.3561498,32.49664509,0.961715281,0.949161708,0.963703871,1.02521348,1.148969054,1.342411757,1.51984024,1.837543726,1.941022038,1.980656981,1.951987028,1.810147762,1.65229845,1.429015636,1.262995243,0.955792487,0.746488631,0.476795942,0.328156173,0.23423259,0.102832556,0.051436286
-115.3561693,32.49214848,0.974309087,0.961598873,0.976699054,1.039506912,1.16443336,1.35260427,1.533405423,1.853218198,1.957919002,1.999037385,1.972166657,1.832172275,1.67487514,1.450800061,1.288563251,0.973660469,0.762332499,0.486818254,0.335068524,0.239209428,0.104901418,0.052305993
-115.3561887,32.48765187,0.987028301,0.97420764,0.989863038,1.053904414,1.179852247,1.363161802,1.546831131,1.868731737,1.974651098,2.017332792,1.992253542,1.854367733,1.697867751,1.473177195,1.315150738,0.992133975,0.778811634,0.497232884,0.342255384,0.244397178,0.107055575,0.053200494
-115.355427,32.66301958,0.970336139,0.958596289,0.973394275,1.032568455,1.149551988,1.342047334,1.511688948,1.810164809,1.909217119,1.94787693,1.923038363,1.789455652,1.636170149,1.413113236,1.239663959,0.934076667,0.723102689,0.457949251,0.312805951,0.22184518,0.096853703,0.048621438
-115.3554466,32.65852298,0.963475049,0.951716423,0.966177464,1.024797797,1.141352773,1.336729527,1.505196333,1.802989244,1.901350498,1.939016342,1.912952423,1.777614117,1.623536348,1.400397182,1.224896431,0.923866391,0.714257896,0.452509493,0.309163451,0.219302312,0.095849618,0.048146997
-115.3554662,32.65402637,0.955622613,0.943857312,0.957945049,1.015916824,1.131971836,1.330720425,1.49767518,1.794637918,1.892253876,1.928838491,1.901451826,1.76428616,1.609483719,1.386398435,1.208839417,0.912744582,0.704702437,0.446653068,0.305257827,0.216578647,0.094775699,0.047636695
-115.3554858,32.64952976,0.947205722,0.935462892,0.94916141,1.00641346,1.121884227,1.324428201,1.489482284,1.785533667,1.882377267,1.917862535,1.889109612,1.750208497,1.59487617,1.372061729,1.192609191,0.90151006,0.695121467,0.440805674,0.301370651,0.21387361,0.093708999,0.047127858
-115.3553485,32.68100602,0.994720697,0.983181834,0.999275148,1.060230732,1.178223133,1.360747576,1.533213973,1.833461523,1.935859561,1.978882551,1.959319115,1.833831191,1.685447454,1.464532137,1.300821662,0.976630509,0.760541618,0.481164962,0.3283979,0.232762963,0.101150483,0.050359298
-115.3553681,32.67650941,0.986546755,0.974891245,0.990536451,1.050957084,1.168805838,1.354676962,1.52653861,1.826242208,1.927316904,1.96866715,1.947115302,1.818374515,1.667766452,1.445604324,1.2780056,0.96062541,0.746346891,0.472358674,0.322476655,0.22860834,0.099513941,0.049714625
-115.3553877,32.6720128,0.978316724,0.966579676,0.981800139,1.041647077,1.15921092,1.348409772,1.519310236,1.818416953,1.918372393,1.958260536,1.934965372,1.803521276,1.651283503,1.428450704,1.257596612,0.946436882,0.733878136,0.464642167,0.31729421,0.224976316,0.098080195,0.049142085
-115.3554073,32.66751619,0.975494444,0.963759959,0.978823304,1.038419008,1.155744195,1.346111059,1.516549826,1.815475464,1.915091991,1.954547524,1.930682063,1.798475504,1.6458776,1.422953725,1.251151204,0.942006409,0.730003357,0.462215155,0.31566292,0.223840073,0.097636655,0.048963271
-115.3514277,32.35725024,0.979261518,0.965472639,0.980043292,1.04448092,1.190033197,1.381303906,1.580052972,1.952910423,2.040654182,2.056372404,2.042010307,1.883451223,1.707370996,1.477577806,1.323759556,0.998819351,0.788231671,0.507116318,0.352001488,0.253321141,0.111485802,0.055184659
